File name,Date,Sample ID,Replicate number,Mouse ID,Sex,Age,Genotype,Stress-relaxation 60s,Rate of change of stress 60s,S60 clamped,Hysteresis strain energy per unit volume,Hysteresis %,Average diameter (um),C.s.a (um squared),C.s.a (mm squared),Sample length (mm),Failure force (N) - corrected,Failure stress (MPa) - corrected,Failure strain (%) - corrected,Failure extension (mm) - corrected,Max modulus (sliding window),Stress at max modulus (sliding window),Strain at max modulus (sliding window),Time at max modulus (s),Force at max modulus (N),Displacement at max modulus (mm),Max modulus fit R2,Max modulus fit intercept (MPa),Max modulus fit n points,SNR preconditioning,SNR hold,SNR failure,SNR preconditioning pass,SNR hold pass,SNR failure pass,Residual preconditioning,Residual hold,Residual failure,Residual preconditioning pass,Residual hold pass,Residual failure pass,Range preconditioning,Range hold,Range failure,Range preconditioning pass,Range hold pass,Range failure pass,Preconditioning pass,Hold pass,Failure pass,Force-Time plot,Force-Extension plot
210330 MRC Sample B2Data.csv,30.03.2021,B,2,156.5,F,8wks,Tm1b Wt,1.392947626,-0.001164171865,False,0.007350468596,28.00178289,194.3963333,29680.14507,0.029680145,14,0.594,20.01337931,7.557142857,1.058,384.7351767,10.10776733,0.03892857143,788.9,0.401,0.545,0.9715471348,-4.822130701,169,15.43139418,20.72979884,81.19093672,True,True,True,0.03545000032,0.03107589267,0.03092951657,True,True,True,0.171,0.166,0.594,True,True,True,True,True,True,results/plots/210330_Sample_B2_force_time.png,results/plots/210330_Sample_B2_force_extension.png
210330 MRC Sample B3Data.csv,30.03.2021,B,3,156.5,F,8wks,Tm1b Wt,24.02284297,-0.02482403529,False,0.04957260781,41.46843689,177.088,24630.21187,0.024630212,14,0.423,17.17403001,6.628571429,0.928,409.2314653,8.282510926,0.03214285714,787.69,0.31,0.45,0.9399645038,-5.172175724,178,19.36296449,20.97780584,63.04910179,True,True,True,0.03125036435,0.03044534278,0.02363976052,True,True,True,0.192,0.166,0.428,True,True,True,True,True,True,results/plots/210330_Sample_B3_force_time.png,results/plots/210330_Sample_B3_force_extension.png
210330 MRC Sample B4Data.csv,30.03.2021,B,4,156.5,F,8wks,Tm1b Wt,13.23894161,-0.02174690305,False,0.04702292672,35.55664853,223.92,39379.9946,0.039379995,14.001,1.168,29.65972951,7.306620956,1.023,545.0437291,15.23616242,0.03564031141,788.3,0.743,0.499,0.9892438497,-3.972032284,169,59.88425784,56.60158673,861.8463672,True,True,True,0.0100443053,0.01200607551,0.02250975929,True,True,True,0.45,0.45,1.21,True,True,True,True,True,True,results/plots/210330_Sample_B4_force_time.png,results/plots/210330_Sample_B4_force_extension.png
210330 MRC Sample B5Data.csv,30.03.2021,B,5,156.5,F,8wks,Tm1b Wt,5.697538074,-0.01441306995,False,0.09228884286,30.51824614,100.7156667,7966.800561,0.007966801,14,0.461,57.86513307,7.057142857,0.988,989.599355,32.38439118,0.04128571429,789.33,0.401,0.578,0.8729612679,-8.88483453,121,22.15306842,81.01698164,265.6203225,True,True,True,0.02374721064,0.03587111115,0.03503092188,True,True,True,0.145,0.134,0.471,True,True,True,True,True,True,results/plots/210330_Sample_B5_force_time.png,results/plots/210330_Sample_B5_force_extension.png
210330 MRC Sample B7Data.csv,30.03.2021,B,7,156.5,F,8wks,Tm1b Wt,81.31494666,-0.01534135111,False,0.04220314678,52.48532813,204.748,32925.26035,0.03292526,14,0.333,10.11381535,9.228571429,1.292,251.0991836,0.6681799931,0.02535714286,786.46,0.165,0.355,0.8056704992,-5.585995046,113,83.88018651,11.22980449,155.241576,True,True,True,0.02962309711,0.06906994107,0.01120578056,True,True,True,0.171,0.054,0.349,True,True,True,True,True,True,results/plots/210330_Sample_B7_force_time.png,results/plots/210330_Sample_B7_force_extension.png
210330 MRC Sample B8Data.csv,30.03.2021,B,8,156.5,F,8wks,Tm1b Wt,9.504608563,-0.02563656283,False,0.06353473285,30.44099045,108.513,9248.11927,0.009248119,14,0.681,73.63659572,8.021428571,1.123,1182.62272,27.8975649,0.03614285714,788.4,0.401,0.506,0.9680717751,-13.7997265,181,67.06387707,41.08879068,504.8355295,True,True,True,0.01993978575,0.02319630225,0.03117410227,True,True,True,0.176,0.177,0.702,True,True,True,True,True,True,results/plots/210330_Sample_B8_force_time.png,results/plots/210330_Sample_B8_force_extension.png
210330 MRC Sample C1Data.csv,30.03.2021,C,1,180.2,F,8wks,Tm1b Wt,11.0578596,-0.002951866687,False,0.01561738885,39.45793931,168.4156667,22276.90532,0.022276905,14.001,0.118,5.296965624,5.121062781,0.717,161.8312285,0.7631221662,0.01828440826,785.19,0.16,0.256,0.7248919475,-2.04683613,160,34.30053599,26.37008972,57.98642827,True,True,True,0.04045570475,0.07689696047,0.02349173631,True,True,True,0.069,0.053,0.128,True,True,True,True,True,True,results/plots/210330_Sample_C1_force_time.png,results/plots/210330_Sample_C1_force_extension.png
210330 MRC Sample C10Data.csv,30.03.2021,C,10,180.2,F,8wks,Tm1b Wt,2.841952661,-0.003898498572,False,0.1667620808,45.60742408,139.0203333,15179.11783,0.015179118,14.001,0.375,24.70499274,15.97028784,2.236,457.1054922,8.827917406,0.02585529605,786.54,0.288,0.362,0.8822903245,-3.148437375,181,15.93583183,37.23898734,86.34686379,True,True,True,0.01785637851,0.03649192168,0.01466110519,True,True,True,0.263,0.14,0.396,True,True,True,True,True,True,results/plots/210330_Sample_C10_force_time.png,results/plots/210330_Sample_C10_force_extension.png
210330 MRC Sample C2Data.csv,30.03.2021,C,2,180.2,F,8wks,Tm1b Wt,5.903275216,-0.0007823015879,False,0.1266717219,75.19671278,128.1366667,12895.45665,0.012895457,14,0.343,26.5985145,18.36428571,2.571,604.0873295,14.57877763,0.0365,788.46,0.331,0.511,0.8359272096,-8.177021554,131,1.406945748,7.90239521,159.9423298,False,True,True,0.02942572797,0.1093268233,0.02742058619,True,False,True,0.102,0.038,0.348,True,True,True,True,False,True,results/plots/210330_Sample_C2_force_time.png,results/plots/210330_Sample_C2_force_extension.png
210330 MRC Sample C3.2Data.csv,30.03.2021,C,3,180.2,F,8wks,Tm1b Wt,28.52737959,-0.002204575708,False,0.005242495942,12.2689397,176.4836667,24462.39181,0.024462392,14,0.231,9.443066729,9.535714286,1.335,227.6906778,1.7578003,0.0365,788.46,0.186,0.511,0.8899916929,-6.125334169,181,7.405435524,8.787774317,118.2770584,True,True,True,0.03301481065,0.1227437799,0.0193373649,True,False,True,0.075,0.032,0.241,True,True,True,True,False,True,results/plots/210330_Sample_C3_force_time.png,results/plots/210330_Sample_C3_force_extension.png
