"sample_key","cluster_dtw","Date","Sample_ID","MouseID","Sex","Age","Genotype","Replicate","Average_diameter..um.","C.s.a..um.squared.","C.s.a..mm.squared.","Date_ID","FileName","exclusion_reason"
"210407.MRC.Sample.A9Data",3,"07.04.2021","A","104.1","F","8wks","Tm1b Het",9,153.95,18614.40967,0.01861441,210407,"210407 MRC Sample A9Data.csv",NA
"210407.MRC.Sample.B1Data",4,"07.04.2021","B","106.3","F","8wks","Tm1b Het",1,109.6926667,9450.288579,0.009450289,210407,"210407 MRC Sample B1Data.csv",NA
"210407.MRC.Sample.B10Data",2,"07.04.2021","B","106.3","F","8wks","Tm1b Het",10,90.14866667,6382.759738,0.00638276,210407,"210407 MRC Sample B10Data.csv",NA
"210407.MRC.Sample.B2Data",4,"07.04.2021","B","106.3","F","8wks","Tm1b Het",2,73.79733333,4277.314846,0.004277315,210407,"210407 MRC Sample B2Data.csv",NA
"210407.MRC.Sample.B4Data",4,"07.04.2021","B","106.3","F","8wks","Tm1b Het",4,133.6743333,14034.14421,0.014034144,210407,"210407 MRC Sample B4Data.csv",NA
"210407.MRC.Sample.B6Data",3,"07.04.2021","B","106.3","F","8wks","Tm1b Het",6,116.057,10578.70634,0.010578706,210407,"210407 MRC Sample B6Data.csv",NA
"210407.MRC.Sample.B8Data",1,"07.04.2021","B","106.3","F","8wks","Tm1b Het",8,182.1336667,26053.75609,0.026053756,210407,"210407 MRC Sample B8Data.csv",NA
"210407.MRC.Sample.B9Data",3,"07.04.2021","B","106.3","F","8wks","Tm1b Het",9,89.033,6225.753136,0.006225753,210407,"210407 MRC Sample B9Data.csv",NA
"210407.MRC.Sample.C2Data",4,"07.04.2021","C","177.2","F","8wks","Tm1b Hom",2,129.5093333,13173.22218,0.013173222,210407,"210407 MRC Sample C2Data.csv",NA
"210407.MRC.Sample.C4Data",1,"07.04.2021","C","177.2","F","8wks","Tm1b Hom",4,143.2556667,16118.08723,0.016118087,210407,"210407 MRC Sample C4Data.csv",NA
"210407.MRC.Sample.C5Data",3,"07.04.2021","C","177.2","F","8wks","Tm1b Hom",5,165.2366667,21443.84859,0.021443849,210407,"210407 MRC Sample C5Data.csv",NA
"210407.MRC.Sample.C6Data",3,"07.04.2021","C","177.2","F","8wks","Tm1b Hom",6,140.4568,15494.42346,0.015494423,210407,"210407 MRC Sample C6Data.csv",NA
"210407.MRC.Sample.C7Data",4,"07.04.2021","C","177.2","F","8wks","Tm1b Hom",7,125.2983333,12330.49381,0.012330494,210407,"210407 MRC Sample C7Data.csv",NA
"210407.MRC.Sample.C8Data",3,"07.04.2021","C","177.2","F","8wks","Tm1b Hom",8,156.496,19235.18486,0.019235185,210407,"210407 MRC Sample C8Data.csv",NA
"210407.MRC.Sample.C9Data",3,"07.04.2021","C","177.2","F","8wks","Tm1b Hom",9,133.0625,13905.96842,0.013905968,210407,"210407 MRC Sample C9Data.csv",NA
"210408.MRC.Sample.A1Data",1,"08.04.2021","A","107.1","F","8wks","Tm1b Het",1,154.612,18774.84142,0.018774841,210408,"210408 MRC Sample A1Data.csv",NA
"210408.MRC.Sample.A10Data",4,"08.04.2021","A","107.1","F","8wks","Tm1b Het",10,116.2836667,10620.06847,0.010620068,210408,"210408 MRC Sample A10Data.csv",NA
"210408.MRC.Sample.A2Data",4,"08.04.2021","A","107.1","F","8wks","Tm1b Het",2,150.8093333,17862.66779,0.017862668,210408,"210408 MRC Sample A2Data.csv",NA
"210408.MRC.Sample.A3Data",2,"08.04.2021","A","107.1","F","8wks","Tm1b Het",3,165.8553333,21604.72607,0.021604726,210408,"210408 MRC Sample A3Data.csv",NA
"210408.MRC.Sample.A4Data",2,"08.04.2021","A","107.1","F","8wks","Tm1b Het",4,121.0736667,11513.02033,0.01151302,210408,"210408 MRC Sample A4Data.csv",NA
"210408.MRC.Sample.A5Data",2,"08.04.2021","A","107.1","F","8wks","Tm1b Het",5,153.5913333,18527.77646,0.018527776,210408,"210408 MRC Sample A5Data.csv",NA
"210408.MRC.Sample.A6Data",4,"08.04.2021","A","107.1","F","8wks","Tm1b Het",6,83.30233333,5450.096776,0.005450097,210408,"210408 MRC Sample A6Data.csv",NA
"210408.MRC.Sample.A7Data",2,"08.04.2021","A","107.1","F","8wks","Tm1b Het",7,137.209,14786.14905,0.014786149,210408,"210408 MRC Sample A7Data.csv",NA
"210408.MRC.Sample.A8Data",1,"08.04.2021","A","107.1","F","8wks","Tm1b Het",8,168.599,22325.43194,0.022325432,210408,"210408 MRC Sample A8Data.csv",NA
"210408.MRC.Sample.A9Data",4,"08.04.2021","A","107.1","F","8wks","Tm1b Het",9,100.26,7894.875431,0.007894875,210408,"210408 MRC Sample A9Data.csv",NA
"210408.MRC.Sample.B1Data",1,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",1,108.822,9300.863874,0.009300864,210408,"210408 MRC Sample B1Data.csv",NA
"210408.MRC.Sample.B10Data",2,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",10,94.44766667,7006.035727,0.007006036,210408,"210408 MRC Sample B10Data.csv",NA
"210408.MRC.Sample.B2Data",4,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",2,88.59833333,6165.112214,0.006165112,210408,"210408 MRC Sample B2Data.csv",NA
"210408.MRC.Sample.B3Data",2,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",3,126.8586667,12639.50793,0.012639508,210408,"210408 MRC Sample B3Data.csv",NA
"210408.MRC.Sample.B4Data",1,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",4,159.698,20030.36374,0.020030364,210408,"210408 MRC Sample B4Data.csv",NA
"210408.MRC.Sample.B5Data",1,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",5,141.3276667,15687.15758,0.015687158,210408,"210408 MRC Sample B5Data.csv",NA
"210408.MRC.Sample.B6Data",4,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",6,102.9756667,8328.352647,0.008328353,210408,"210408 MRC Sample B6Data.csv",NA
"210408.MRC.Sample.B7Data",3,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",7,121.7463333,11641.30484,0.011641305,210408,"210408 MRC Sample B7Data.csv",NA
"210408.MRC.Sample.B8Data",4,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",8,144.0266667,16292.04874,0.016292049,210408,"210408 MRC Sample B8Data.csv",NA
