"sample_key","cluster_dtw","Date","Sample_ID","MouseID","Sex","Age","Genotype","Replicate","Average_diameter..um.","C.s.a..um.squared.","C.s.a..mm.squared.","Date_ID","FileName","exclusion_reason"
"210415.MRC.Sample.A3Data",4,"15.04.2021","A","108.2","F","8wks","oim Wt",3,90.97,6499.594624,0.006499595,210415,"210415 MRC Sample A3Data.csv",NA
"210415.MRC.Sample.A4Data",3,"15.04.2021","A","108.2","F","8wks","oim Wt",4,118.753,11075.90089,0.011075901,210415,"210415 MRC Sample A4Data.csv",NA
"210415.MRC.Sample.A5Data",3,"15.04.2021","A","108.2","F","8wks","oim Wt",5,81.56533333,5225.17827,0.005225178,210415,"210415 MRC Sample A5Data.csv",NA
"210415.MRC.Sample.A6Data",3,"15.04.2021","A","108.2","F","8wks","oim Wt",6,67.62966667,3592.231982,0.003592232,210415,"210415 MRC Sample A6Data.csv",NA
"210415.MRC.Sample.A7Data",4,"15.04.2021","A","108.2","F","8wks","oim Wt",7,97.27333333,7431.517043,0.007431517,210415,"210415 MRC Sample A7Data.csv",NA
"210415.MRC.Sample.A8Data",4,"15.04.2021","A","108.2","F","8wks","oim Wt",8,84.85033333,5654.536176,0.005654536,210415,"210415 MRC Sample A8Data.csv",NA
"210415.MRC.Sample.A9Data",3,"15.04.2021","A","108.2","F","8wks","oim Wt",9,129.2896667,13128.57269,0.013128573,210415,"210415 MRC Sample A9Data.csv",NA
"210415.MRC.Sample.B2Data",3,"15.04.2021","B","116.2","F","8wks","oim Het",2,101.2466667,8051.02823,0.008051028,210415,"210415 MRC Sample B2Data.csv",NA
"210415.MRC.Sample.B3Data",3,"15.04.2021","B","116.2","F","8wks","oim Het",3,90.33866667,6409.693077,0.006409693,210415,"210415 MRC Sample B3Data.csv",NA
"210415.MRC.Sample.B6Data",4,"15.04.2021","B","116.2","F","8wks","oim Het",6,91.17266667,6528.587006,0.006528587,210415,"210415 MRC Sample B6Data.csv",NA
"210415.MRC.Sample.B7Data",4,"15.04.2021","B","116.2","F","8wks","oim Het",7,72.325,4108.343671,0.004108344,210415,"210415 MRC Sample B7Data.csv",NA
"210415.MRC.Sample.B8Data",3,"15.04.2021","B","116.2","F","8wks","oim Het",8,77.81333333,4755.518998,0.004755519,210415,"210415 MRC Sample B8Data.csv",NA
"210415.MRC.Sample.B9Data",4,"15.04.2021","B","116.2","F","8wks","oim Het",9,65.905,3411.352595,0.003411353,210415,"210415 MRC Sample B9Data.csv",NA
"210415.MRC.Sample.C9Data",3,"15.04.2021","C","159.1","F","8wks","oim Hom",9,71.483,4013.242685,0.004013243,210415,"210415 MRC Sample C9Data.csv",NA
"210416.MRC.Sample.A1Data",4,"16.04.2021","A","108.5","F","8wks","oim Wt",1,100.2216667,7888.839549,0.00788884,210416,"210416 MRC Sample A1Data.csv",NA
"210416.MRC.Sample.A10Data",4,"16.04.2021","A","108.5","F","8wks","oim Wt",10,154.314,18702.53771,0.018702538,210416,"210416 MRC Sample A10Data.csv",NA
"210416.MRC.Sample.A2Data",5,"16.04.2021","A","108.5","F","8wks","oim Wt",2,129.968,13266.69525,0.013266695,210416,"210416 MRC Sample A2Data.csv",NA
"210416.MRC.Sample.A3Data",4,"16.04.2021","A","108.5","F","8wks","oim Wt",3,111.609,9783.366321,0.009783366,210416,"210416 MRC Sample A3Data.csv",NA
"210416.MRC.Sample.A4Data",5,"16.04.2021","A","108.5","F","8wks","oim Wt",4,112.129,9874.742497,0.009874742,210416,"210416 MRC Sample A4Data.csv",NA
"210416.MRC.Sample.A5Data",3,"16.04.2021","A","108.5","F","8wks","oim Wt",5,85.24,5706.591215,0.005706591,210416,"210416 MRC Sample A5Data.csv",NA
"210416.MRC.Sample.A6Data",4,"16.04.2021","A","108.5","F","8wks","oim Wt",6,100.9166667,7998.631255,0.007998631,210416,"210416 MRC Sample A6Data.csv",NA
"210416.MRC.Sample.A7Data",4,"16.04.2021","A","108.5","F","8wks","oim Wt",7,108.435,9234.828806,0.009234829,210416,"210416 MRC Sample A7Data.csv",NA
"210416.MRC.Sample.A9Data",4,"16.04.2021","A","108.5","F","8wks","oim Wt",9,129.0443333,13078.79576,0.013078796,210416,"210416 MRC Sample A9Data.csv",NA
"210416.MRC.Sample.B1Data",3,"16.04.2021","B","118.1","F","8wks","oim Het",1,103.473,8408.992458,0.008408992,210416,"210416 MRC Sample B1Data.csv",NA
"210416.MRC.Sample.B10Data",4,"16.04.2021","B","118.1","F","8wks","oim Het",10,76.779,4629.933829,0.004629934,210416,"210416 MRC Sample B10Data.csv",NA
"210416.MRC.Sample.B3Data",3,"16.04.2021","B","118.1","F","8wks","oim Het",3,103.3423333,8387.767955,0.008387768,210416,"210416 MRC Sample B3Data.csv",NA
"210416.MRC.Sample.B4Data",3,"16.04.2021","B","118.1","F","8wks","oim Het",4,85.79233333,5780.785311,0.005780785,210416,"210416 MRC Sample B4Data.csv",NA
"210416.MRC.Sample.B5Data",1,"16.04.2021","B","118.1","F","8wks","oim Het",5,103.623,8433.390381,0.00843339,210416,"210416 MRC Sample B5Data.csv",NA
"210416.MRC.Sample.B6Data",3,"16.04.2021","B","118.1","F","8wks","oim Het",6,114.329,10266.03383,0.010266034,210416,"210416 MRC Sample B6Data.csv",NA
"210416.MRC.Sample.B8Data",4,"16.04.2021","B","118.1","F","8wks","oim Het",8,75.59766667,4488.556163,0.004488556,210416,"210416 MRC Sample B8Data.csv",NA
"210416.MRC.Sample.B9Data",3,"16.04.2021","B","118.1","F","8wks","oim Het",9,77.14366667,4674.018594,0.004674019,210416,"210416 MRC Sample B9Data.csv",NA
"210416.MRC.Sample.C2Data",3,"16.04.2021","C","159.2","F","8wks","oim Hom",2,66.13166667,3434.858236,0.003434858,210416,"210416 MRC Sample C2Data.csv",NA
"210416.MRC.Sample.C6Data",3,"16.04.2021","C","159.2","F","8wks","oim Hom",6,99.665,7801.448098,0.007801448,210416,"210416 MRC Sample C6Data.csv",NA
"210419.MRC.Sample.A1Data",2,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",1,150.7673333,17852.71977,0.01785272,210419,"210419 MRC Sample A1Data.csv",NA
"210419.MRC.Sample.A10Data",4,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",10,118.998,11121.64955,0.01112165,210419,"210419 MRC Sample A10Data.csv",NA
"210419.MRC.Sample.A2Data",1,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",2,154.5873333,18768.85125,0.018768851,210419,"210419 MRC Sample A2Data.csv",NA
"210419.MRC.Sample.A3Data",2,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",3,153.7463333,18565.19074,0.018565191,210419,"210419 MRC Sample A3Data.csv",NA
"210419.MRC.Sample.A4Data",2,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",4,144.7446667,16454.89148,0.016454891,210419,"210419 MRC Sample A4Data.csv",NA
"210419.MRC.Sample.A5Data",1,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",5,124.5593333,12185.47411,0.012185474,210419,"210419 MRC Sample A5Data.csv",NA
"210419.MRC.Sample.A6Data",2,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",6,110.2123333,9540.041748,0.009540042,210419,"210419 MRC Sample A6Data.csv",NA
"210419.MRC.Sample.A7Data",2,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",7,131.4283333,13566.50197,0.013566502,210419,"210419 MRC Sample A7Data.csv",NA
"210419.MRC.Sample.A8Data",2,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",8,112.572,9952.923027,0.009952923,210419,"210419 MRC Sample A8Data.csv",NA
"210419.MRC.Sample.A9Data",2,"19.04.2021","A","157.3","M","8wks","Tm1b Wt",9,133.8676667,14074.76878,0.014074769,210419,"210419 MRC Sample A9Data.csv",NA
"210419.MRC.Sample.B1Data",2,"19.04.2021","B","91.3","M","8wks","Tm1b Het",1,118.345,10999.92463,0.010999925,210419,"210419 MRC Sample B1Data.csv",NA
"210419.MRC.Sample.B10Data",1,"19.04.2021","B","91.3","M","8wks","Tm1b Het",10,146.9706667,16964.89632,0.016964896,210419,"210419 MRC Sample B10Data.csv",NA
"210419.MRC.Sample.B3Data",2,"19.04.2021","B","91.3","M","8wks","Tm1b Het",3,140.2923333,15458.15857,0.015458159,210419,"210419 MRC Sample B3Data.csv",NA
"210419.MRC.Sample.B4Data",4,"19.04.2021","B","91.3","M","8wks","Tm1b Het",4,148.553,17332.16181,0.017332162,210419,"210419 MRC Sample B4Data.csv",NA
"210419.MRC.Sample.B5Data",2,"19.04.2021","B","91.3","M","8wks","Tm1b Het",5,109.733,9457.239479,0.009457239,210419,"210419 MRC Sample B5Data.csv",NA
"210419.MRC.Sample.B6Data",2,"19.04.2021","B","91.3","M","8wks","Tm1b Het",6,118.1736667,10968.09753,0.010968098,210419,"210419 MRC Sample B6Data.csv",NA
"210419.MRC.Sample.B7Data",2,"19.04.2021","B","91.3","M","8wks","Tm1b Het",7,154.7303333,18803.59131,0.018803591,210419,"210419 MRC Sample B7Data.csv",NA
"210419.MRC.Sample.B8Data",2,"19.04.2021","B","91.3","M","8wks","Tm1b Het",8,152.1543333,18182.70665,0.018182707,210419,"210419 MRC Sample B8Data.csv",NA
"210419.MRC.Sample.B9Data",2,"19.04.2021","B","91.3","M","8wks","Tm1b Het",9,143.5083333,16174.99379,0.016174994,210419,"210419 MRC Sample B9Data.csv",NA
"210419.MRC.Sample.C1Data",4,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",1,84.799,5647.696406,0.005647696,210419,"210419 MRC Sample C1Data.csv",NA
"210419.MRC.Sample.C10Data",4,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",10,122.2893333,11745.37902,0.011745379,210419,"210419 MRC Sample C10Data.csv",NA
"210419.MRC.Sample.C2Data",2,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",2,80.54633333,5095.436943,0.005095437,210419,"210419 MRC Sample C2Data.csv",NA
"210419.MRC.Sample.C3Data",1,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",3,121.4906667,11592.46283,0.011592463,210419,"210419 MRC Sample C3Data.csv",NA
"210419.MRC.Sample.C4Data",2,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",4,121.531,11600.1612,0.011600161,210419,"210419 MRC Sample C4Data.csv",NA
"210419.MRC.Sample.C5Data",4,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",5,103.8253333,8466.356452,0.008466356,210419,"210419 MRC Sample C5Data.csv",NA
"210419.MRC.Sample.C6Data",5,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",6,91.309,6548.126404,0.006548126,210419,"210419 MRC Sample C6Data.csv",NA
"210419.MRC.Sample.C7Data",4,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",7,92.22033333,6679.489272,0.006679489,210419,"210419 MRC Sample C7Data.csv",NA
"210419.MRC.Sample.C8Data",1,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",8,103.422,8400.705215,0.008400705,210419,"210419 MRC Sample C8Data.csv",NA
"210419.MRC.Sample.C9Data",1,"19.04.2021","C","155.2","M","8wks","Tm1b Hom",9,93.145,6814.107417,0.006814107,210419,"210419 MRC Sample C9Data.csv",NA
"210422.MRC.Sample.A1Data",3,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",1,107.4086667,9060.841481,0.009060841,210422,"210422 MRC Sample A1Data.csv",NA
"210422.MRC.Sample.A2Data",4,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",2,168.668,22343.70927,0.022343709,210422,"210422 MRC Sample A2Data.csv",NA
"210422.MRC.Sample.A3Data",1,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",3,129.158,13101.84641,0.013101846,210422,"210422 MRC Sample A3Data.csv",NA
"210422.MRC.Sample.A4Data",3,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",4,139.2526667,15229.89548,0.015229895,210422,"210422 MRC Sample A4Data.csv",NA
"210422.MRC.Sample.A5Data",4,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",5,89.933,6352.256747,0.006352257,210422,"210422 MRC Sample A5Data.csv",NA
"210422.MRC.Sample.A6Data",1,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",6,177.2623333,24678.72989,0.02467873,210422,"210422 MRC Sample A6Data.csv",NA
"210422.MRC.Sample.A7Data",3,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",7,146.2063333,16788.9004,0.0167889,210422,"210422 MRC Sample A7Data.csv",NA
"210422.MRC.Sample.A8Data",3,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",8,111.618,9784.94422,0.009784944,210422,"210422 MRC Sample A8Data.csv",NA
"210422.MRC.Sample.A9Data",3,"22.04.2021","A","157.4","M","8wks","Tm1b Wt",9,108.301,9212.018783,0.009212019,210422,"210422 MRC Sample A9Data.csv",NA
"210422.MRC.Sample.B10Data",3,"22.04.2021","B","91.4","M","8wks","Tm1b Het",10,105.2253333,8696.219666,0.00869622,210422,"210422 MRC Sample B10Data.csv",NA
"210422.MRC.Sample.B2Data",3,"22.04.2021","B","91.4","M","8wks","Tm1b Het",2,140.8053333,15571.41542,0.015571415,210422,"210422 MRC Sample B2Data.csv",NA
"210422.MRC.Sample.B8Data",4,"22.04.2021","B","91.4","M","8wks","Tm1b Het",8,118.2676667,10985.55338,0.010985553,210422,"210422 MRC Sample B8Data.csv",NA
"210422.MRC.Sample.C1Data",4,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",1,85.552,5748.442808,0.005748443,210422,"210422 MRC Sample C1Data.csv",NA
"210422.MRC.Sample.C10Data",4,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",10,96.69566667,7343.513631,0.007343514,210422,"210422 MRC Sample C10Data.csv",NA
"210422.MRC.Sample.C2Data",1,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",2,107.0426667,8999.196217,0.008999196,210422,"210422 MRC Sample C2Data.csv",NA
"210422.MRC.Sample.C3Data",4,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",3,91.39333333,6560.227737,0.006560228,210422,"210422 MRC Sample C3Data.csv",NA
"210422.MRC.Sample.C4Data",3,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",4,117.9303333,10922.97484,0.010922975,210422,"210422 MRC Sample C4Data.csv",NA
"210422.MRC.Sample.C6Data",3,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",6,85.69266667,5767.361807,0.005767362,210422,"210422 MRC Sample C6Data.csv",NA
"210422.MRC.Sample.C7Data",3,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",7,110.6653333,9618.626789,0.009618627,210422,"210422 MRC Sample C7Data.csv",NA
"210422.MRC.Sample.C8Data",4,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",8,101.4113333,8077.237755,0.008077238,210422,"210422 MRC Sample C8Data.csv",NA
"210422.MRC.Sample.C9Data",3,"22.04.2021","C","176.2","M","8wks","Tm1b Hom",9,130.509,13377.37204,0.013377372,210422,"210422 MRC Sample C9Data.csv",NA
"210422.MRC.Sample.D1Data",2,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",1,91.063,6512.890684,0.006512891,210422,"210422 MRC Sample D1Data.csv",NA
"210422.MRC.Sample.D10Data",2,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",10,182.969,26293.28872,0.026293289,210422,"210422 MRC Sample D10Data.csv",NA
"210422.MRC.Sample.D3Data",3,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",3,115.742,10521.35917,0.010521359,210422,"210422 MRC Sample D3Data.csv",NA
"210422.MRC.Sample.D4Data",2,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",4,127.961,12860.12329,0.012860123,210422,"210422 MRC Sample D4Data.csv",NA
"210422.MRC.Sample.D5Data",3,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",5,121.2783333,11551.97715,0.011551977,210422,"210422 MRC Sample D5Data.csv",NA
"210422.MRC.Sample.D6Data",3,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",6,99.14466667,7720.200782,0.007720201,210422,"210422 MRC Sample D6Data.csv",NA
"210422.MRC.Sample.D8Data",4,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",8,97.852,7520.198335,0.007520198,210422,"210422 MRC Sample D8Data.csv",NA
"210422.MRC.Sample.D9Data",4,"22.04.2021","D","81.2","M","52wks","Tm1b Hom",9,93.52033333,6869.133764,0.006869134,210422,"210422 MRC Sample D9Data.csv",NA
"210423.MRC.Sample.A1Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",1,152.038,18154.91322,0.018154913,210423,"210423 MRC Sample A1Data.csv",NA
"210423.MRC.Sample.A10Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",10,150.8556667,17873.64543,0.017873645,210423,"210423 MRC Sample A10Data.csv",NA
"210423.MRC.Sample.A2Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",2,126.5373333,12575.5572,0.012575557,210423,"210423 MRC Sample A2Data.csv",NA
"210423.MRC.Sample.A3Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",3,104.6786667,8606.097185,0.008606097,210423,"210423 MRC Sample A3Data.csv",NA
"210423.MRC.Sample.A4Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",4,122.171,11722.65918,0.011722659,210423,"210423 MRC Sample A4Data.csv",NA
"210423.MRC.Sample.A5Data",3,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",5,102.7393333,8290.168689,0.008290169,210423,"210423 MRC Sample A5Data.csv",NA
"210423.MRC.Sample.A6Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",6,122.818,11847.15098,0.011847151,210423,"210423 MRC Sample A6Data.csv",NA
"210423.MRC.Sample.A7Data",3,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",7,94.266,6979.109935,0.00697911,210423,"210423 MRC Sample A7Data.csv",NA
"210423.MRC.Sample.A8Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",8,119.3406667,11185.79358,0.011185794,210423,"210423 MRC Sample A8Data.csv",NA
"210423.MRC.Sample.A9Data",4,"23.04.2021","A","174.1","M","8wks","Tm1b Wt",9,120.233,11353.69566,0.011353696,210423,"210423 MRC Sample A9Data.csv",NA
"210423.MRC.Sample.B1Data",1,"23.04.2021","B","92.3","M","8wks","Tm1b Het",1,117.7656667,10892.49255,0.010892493,210423,"210423 MRC Sample B1Data.csv",NA
"210423.MRC.Sample.B10Data",2,"23.04.2021","B","92.3","M","8wks","Tm1b Het",10,113.3506667,10091.08906,0.010091089,210423,"210423 MRC Sample B10Data.csv",NA
"210423.MRC.Sample.B2Data",3,"23.04.2021","B","92.3","M","8wks","Tm1b Het",2,103.719,8449.023599,0.008449024,210423,"210423 MRC Sample B2Data.csv",NA
"210423.MRC.Sample.B4Data",4,"23.04.2021","B","92.3","M","8wks","Tm1b Het",4,113.5653333,10129.34682,0.010129347,210423,"210423 MRC Sample B4Data.csv",NA
"210423.MRC.Sample.B5Data",4,"23.04.2021","B","92.3","M","8wks","Tm1b Het",5,105.91,8809.754729,0.008809755,210423,"210423 MRC Sample B5Data.csv",NA
"210423.MRC.Sample.B6Data",4,"23.04.2021","B","92.3","M","8wks","Tm1b Het",6,85.999,5808.669729,0.00580867,210423,"210423 MRC Sample B6Data.csv",NA
"210423.MRC.Sample.B8Data",3,"23.04.2021","B","92.3","M","8wks","Tm1b Het",8,152.307,18219.21283,0.018219213,210423,"210423 MRC Sample B8Data.csv",NA
"210423.MRC.Sample.B9Data",3,"23.04.2021","B","92.3","M","8wks","Tm1b Het",9,120.1736667,11342.49264,0.011342493,210423,"210423 MRC Sample B9Data.csv",NA
"210423.MRC.Sample.C1Data",2,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",1,140.1763333,15432.60614,0.015432606,210423,"210423 MRC Sample C1Data.csv",NA
"210423.MRC.Sample.C10Data",3,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",10,91.53433333,6580.485355,0.006580485,210423,"210423 MRC Sample C10Data.csv",NA
"210423.MRC.Sample.C2Data",4,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",2,117.4983333,10843.09578,0.010843096,210423,"210423 MRC Sample C2Data.csv",NA
"210423.MRC.Sample.C3Data",3,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",3,84.92866667,5664.981466,0.005664981,210423,"210423 MRC Sample C3Data.csv",NA
"210423.MRC.Sample.C4Data",3,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",4,103.175,8360.626772,0.008360627,210423,"210423 MRC Sample C4Data.csv",NA
"210423.MRC.Sample.C5Data",3,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",5,112.5013333,9940.43112,0.009940431,210423,"210423 MRC Sample C5Data.csv",NA
"210423.MRC.Sample.C6Data",3,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",6,121.596,11612.57304,0.011612573,210423,"210423 MRC Sample C6Data.csv",NA
"210423.MRC.Sample.C8Data",3,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",8,118.7036667,11066.70033,0.0110667,210423,"210423 MRC Sample C8Data.csv",NA
"210423.MRC.Sample.C9Data",3,"23.04.2021","C","176.3","M","8wks","Tm1b Hom",9,129.4586667,13162.91695,0.013162917,210423,"210423 MRC Sample C9Data.csv",NA
"210423.MRC.Sample.D1Data",3,"23.04.2021","D","88.2","M","52wks","Tm1b Hom",1,178.6916667,25078.32236,0.025078322,210423,"210423 MRC Sample D1Data.csv",NA
"210423.MRC.Sample.D10Data",3,"23.04.2021","D","88.2","M","52wks","Tm1b Hom",10,137.878,14930.68839,0.014930688,210423,"210423 MRC Sample D10Data.csv",NA
"210423.MRC.Sample.D3Data",3,"23.04.2021","D","88.2","M","52wks","Tm1b Hom",3,162.0466667,20623.86634,0.020623866,210423,"210423 MRC Sample D3Data.csv",NA
"210423.MRC.Sample.D6Data",3,"23.04.2021","D","88.2","M","52wks","Tm1b Hom",6,162.6326667,20773.29783,0.020773298,210423,"210423 MRC Sample D6Data.csv",NA
"210423.MRC.Sample.D8Data",3,"23.04.2021","D","88.2","M","52wks","Tm1b Hom",8,180.753,25660.25156,0.025660252,210423,"210423 MRC Sample D8Data.csv",NA
"210426.MRC.Sample.A1Data",3,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",1,127.3013333,12727.87161,0.012727872,210426,"210426 MRC Sample A1Data.csv",NA
"210426.MRC.Sample.A10Data",4,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",10,111.0386667,9683.633809,0.009683634,210426,"210426 MRC Sample A10Data.csv",NA
"210426.MRC.Sample.A2Data",3,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",2,105.1333333,8681.019857,0.00868102,210426,"210426 MRC Sample A2Data.csv",NA
"210426.MRC.Sample.A3Data",4,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",3,101.792,8137.990457,0.00813799,210426,"210426 MRC Sample A3Data.csv",NA
"210426.MRC.Sample.A4Data",3,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",4,110.6316667,9612.775324,0.009612775,210426,"210426 MRC Sample A4Data.csv",NA
"210426.MRC.Sample.A5Data",4,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",5,135.0413333,14322.64791,0.014322648,210426,"210426 MRC Sample A5Data.csv",NA
"210426.MRC.Sample.A6Data",1,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",6,122.752,11834.42155,0.011834422,210426,"210426 MRC Sample A6Data.csv",NA
"210426.MRC.Sample.A7Data",4,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",7,133.3213333,13960.12085,0.013960121,210426,"210426 MRC Sample A7Data.csv",NA
"210426.MRC.Sample.A8Data",3,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",8,129.593,13190.24823,0.013190248,210426,"210426 MRC Sample A8Data.csv",NA
"210426.MRC.Sample.A9Data",4,"26.04.2021","A","176.1","M","8wks","Tm1b Wt",9,122.539,11793.38686,0.011793387,210426,"210426 MRC Sample A9Data.csv",NA
"210426.MRC.Sample.B1Data",2,"26.04.2021","B","102.2","M","8wks","Tm1b Het",1,162.676,20784.36936,0.020784369,210426,"210426 MRC Sample B1Data.csv",NA
"210426.MRC.Sample.B10Data",4,"26.04.2021","B","102.2","M","8wks","Tm1b Het",10,121.9776667,11685.58677,0.011685587,210426,"210426 MRC Sample B10Data.csv",NA
"210426.MRC.Sample.B3Data",1,"26.04.2021","B","102.2","M","8wks","Tm1b Het",3,122.7603333,11836.02842,0.011836028,210426,"210426 MRC Sample B3Data.csv",NA
"210426.MRC.Sample.B4Data",4,"26.04.2021","B","102.2","M","8wks","Tm1b Het",4,110.7356667,9630.856919,0.009630857,210426,"210426 MRC Sample B4Data.csv",NA
"210426.MRC.Sample.B5Data",1,"26.04.2021","B","102.2","M","8wks","Tm1b Het",5,101.5316667,8096.417823,0.008096418,210426,"210426 MRC Sample B5Data.csv",NA
"210426.MRC.Sample.B7Data",1,"26.04.2021","B","102.2","M","8wks","Tm1b Het",7,85.987,5807.048799,0.005807049,210426,"210426 MRC Sample B7Data.csv",NA
"210426.MRC.Sample.B9Data",3,"26.04.2021","B","102.2","M","8wks","Tm1b Het",9,106.3503333,8883.162198,0.008883162,210426,"210426 MRC Sample B9Data.csv",NA
"210426.MRC.Sample.C1Data",4,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",1,104.5976667,8592.7836,0.008592784,210426,"210426 MRC Sample C1Data.csv",NA
"210426.MRC.Sample.C10Data",3,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",10,98.70033333,7651.157113,0.007651157,210426,"210426 MRC Sample C10Data.csv",NA
"210426.MRC.Sample.C3Data",3,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",3,123.6413333,12006.52255,0.012006523,210426,"210426 MRC Sample C3Data.csv",NA
"210426.MRC.Sample.C4Data",3,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",4,142.5763333,15965.58236,0.015965582,210426,"210426 MRC Sample C4Data.csv",NA
"210426.MRC.Sample.C5Data",4,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",5,104.706,8610.592156,0.008610592,210426,"210426 MRC Sample C5Data.csv",NA
"210426.MRC.Sample.C6Data",3,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",6,107.6963333,9109.44076,0.009109441,210426,"210426 MRC Sample C6Data.csv",NA
"210426.MRC.Sample.C7Data",4,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",7,103.6873333,8443.865203,0.008443865,210426,"210426 MRC Sample C7Data.csv",NA
"210426.MRC.Sample.C8Data",3,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",8,126.151,12498.88512,0.012498885,210426,"210426 MRC Sample C8Data.csv",NA
"210426.MRC.Sample.C9Data",4,"26.04.2021","C","190.2","M","8wks","Tm1b Hom",9,95.26433333,7127.718615,0.007127719,210426,"210426 MRC Sample C9Data.csv",NA
"210426.MRC.Sample.D10Data",2,"26.04.2021","D","92.1","M","52wks","Tm1b Hom",10,144.5936667,16420.57737,0.016420577,210426,"210426 MRC Sample D10Data.csv",NA
"210426.MRC.Sample.D2Data",3,"26.04.2021","D","92.1","M","52wks","Tm1b Hom",2,142.862,16029.62391,0.016029624,210426,"210426 MRC Sample D2Data.csv",NA
"210426.MRC.Sample.D3Data",3,"26.04.2021","D","92.1","M","52wks","Tm1b Hom",3,162.0526667,20625.39362,0.020625394,210426,"210426 MRC Sample D3Data.csv",NA
"210426.MRC.Sample.D5Data",2,"26.04.2021","D","92.1","M","52wks","Tm1b Hom",5,126.3873333,12545.76021,0.01254576,210426,"210426 MRC Sample D5Data.csv",NA
